id,id_anfitrion,ultima_extraccion,zona_grupo,vecindario,latitud,longitud,tipo_propiedad,tipo_habitacion,capacidad,banos,recamaras,camas,noches_minimas,noches_maximas,min_noches_minimas,max_noches_minimas,min_noches_maximas,max_noches_maximas,precio,tiene_disponibilidad,disp_30d,disp_60d,disp_90d,disp_365d,calendario_ultima_extraccion,calendario_actualizado,num_resenas,num_resenas_12m,num_resenas_30d,primera_resena,ultima_resena,resenas_por_mes,calif_total,calif_exactitud,calif_limpieza,calif_checkin,calif_comunicacion,calif_ubicacion,calif_valor,reserva_inmediata,es_superhost,tiempo_respuesta_host,tasa_respuesta_host,tasa_aceptacion_host,host_tiene_foto,host_verificado,antiguedad_host,vecindario_host,total_listados_host,host_total_casas_completas,host_total_habitaciones_privadas,host_total_habitaciones_compartidas,licencia
1237708481772340314,597681399,2025-06-17,Terraferma,Campalto,45.48613,12.29408,Room in hotel,Private room,3,1.0,1.0,2.0,1,365,1,1,365,365,$160.00,t,30,60,76,76,2025-06-17,,0,0,0,,,,,,,,,,,f,f,within a day,50%,100%,f,t,2024-08-22,,12,0,12,0,IT027042A1SKU39T5C
1257931094690462511,654950610,2025-06-17,Terraferma,San Lorenzo XXV Aprile,45.49581,12.23633,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,2,28,2,2,29,29,$276.00,t,26,55,85,360,2025-06-17,,0,0,0,,,,,,,,,,,t,f,a few days or more,0%,,t,f,2024-10-01,,2,2,0,0,IT027042B4ZEEM8GE2
1259224077617780583,597681399,2025-06-17,Terraferma,Campalto,45.48779017652213,12.296033523363024,Room in hotel,Private room,1,1.0,1.0,1.0,1,365,1,1,365,365,$81.00,t,30,60,76,76,2025-06-17,,0,0,0,,,,,,,,,,,t,f,within a day,50%,100%,f,t,2024-08-22,,12,0,12,0,IT027042A1SKU39T5C
1260598674331608934,597681399,2025-06-17,Terraferma,Campalto,45.487591803035286,12.295517804618646,Room in hotel,Private room,1,1.0,1.0,1.0,1,365,1,1,365,365,$81.00,t,30,60,76,76,2025-06-17,,0,0,0,,,,,,,,,,,t,f,within a day,50%,100%,f,t,2024-08-22,,12,0,12,0,IT027042A1SKU39T5C
1261421684986126909,597681399,2025-06-17,Terraferma,Campalto,45.48573332647581,12.29441838710639,Room in hotel,Private room,1,1.0,1.0,1.0,1,365,1,1,365,365,$81.00,t,30,60,76,76,2025-06-17,,2,2,0,2025-01-31,2025-04-19,0.43,4.0,4.0,4.0,4.0,3.5,4.5,4.0,t,f,within a day,50%,100%,f,t,2024-08-22,,12,0,12,0,IT027042A1SKU39T5C
1263752810248699399,512015946,2025-06-17,Terraferma,Piave 1860,45.48465,12.22978,Room in hotel,Private room,3,2.0,1.0,2.0,1,365,1,1,365,365,$79.00,t,30,60,90,365,2025-06-17,,3,3,0,2024-10-30,2024-12-29,0.39,2.67,3.67,2.33,3.67,4.67,4.33,4.0,f,f,within a day,77%,85%,t,t,2023-04-27,,3,0,3,0,IT027042A1D6NMG783
1275904232747210514,659033874,2025-06-17,Isole,Lido,45.4113821,12.3731333,Entire rental unit,Entire home/apt,4,2.0,2.0,4.0,5,180,5,5,180,180,$288.00,t,7,24,42,132,2025-06-17,,1,1,0,2025-05-04,2025-05-04,0.67,4.0,3.0,4.0,5.0,5.0,4.0,3.0,f,f,within a day,100%,58%,f,t,2024-10-26,,1,1,0,0,IT027042B427TMLK5P
1284565992298040675,128370974,2025-06-17,Terraferma,Marghera,45.4779299,12.2203001,Entire rental unit,Entire home/apt,4,,1.0,,3,29,3,3,29,29,,,7,13,43,313,2025-06-17,,0,0,0,,,,,,,,,,,f,f,a few days or more,0%,,t,t,2017-05-01,,1,1,0,0,
1287595773378505914,661612979,2025-06-17,Isole,Cannaregio,45.44005262575994,12.335925561695628,Private room in rental unit,Private room,3,1.0,1.0,3.0,2,1125,1,2,1125,1125,$90.00,t,19,49,70,340,2025-06-17,,7,7,1,2024-11-24,2025-06-04,1.02,4.29,4.43,4.29,4.29,4.29,4.86,4.43,f,f,a few days or more,30%,50%,t,t,2024-11-11,,3,0,3,0,IT027042B4BBXABF2C
1287644585826592943,661612979,2025-06-17,Isole,Cannaregio,45.439745121715575,12.33585800330604,Private room in rental unit,Private room,7,1.0,2.0,3.0,1,365,1,1,365,365,$205.00,t,22,52,82,153,2025-06-17,,4,4,0,2024-12-01,2025-03-14,0.6,4.5,4.75,4.25,4.5,4.5,4.5,4.25,f,f,a few days or more,30%,50%,t,t,2024-11-11,,3,0,3,0,IT027042B4HU44PZQ5
