id_anfitrion,zona_grupo,latitud,tipo_propiedad,capacidad,recamaras,noches_minimas,min_noches_minimas,min_noches_maximas,precio,disp_30d,disp_90d,calendario_ultima_extraccion,num_resenas,num_resenas_30d,ultima_resena,calif_total,calif_limpieza,calif_comunicacion,calif_valor,es_superhost,tasa_respuesta_host,host_tiene_foto,antiguedad_host,total_listados_host,host_total_habitaciones_privadas,licencia
1365288,Isole,45.44254,Entire condo,2,1.0,5,2,1125,$75.00,17,47,2025-06-17,240,5,2025-06-11,4.59,4.57,4.83,4.48,f,100%,t,2011-11-03,2,0,IT027042C2LNUJWRXG
1351366,Isole,45.43627,Private room in bed and breakfast,2,1.0,3,2,100,$127.00,7,43,2025-06-17,62,0,2024-10-10,4.77,4.88,4.87,4.73,f,67%,t,2011-10-30,2,2,IT027042B4IXU5WOT8
1384217,Isole,45.4392,Entire condo,4,2.0,3,2,1125,$276.00,1,20,2025-06-17,20,1,2025-06-04,5.0,4.95,5.0,4.85,t,100%,t,2011-11-08,7,0,IT027042B48D6LN8TK
703872,Isole,45.44285,Private room in condo,2,1.0,1,1,30,$81.00,10,47,2025-06-17,581,4,2025-05-31,4.6,4.69,4.86,4.52,f,95%,t,2011-06-15,2,1,IT027042C2256VY8PB
1408761,Isole,45.43695,Entire rental unit,4,2.0,3,3,1125,,0,0,2025-06-17,329,0,2025-01-05,4.94,4.93,4.96,4.83,t,100%,t,2011-11-15,5,0,IT027042C2GR7PSTIR
1426634,Isole,45.43112,Entire rental unit,2,1.0,2,2,1125,$182.00,19,62,2025-06-17,124,0,2024-11-03,4.3,4.68,4.56,4.37,f,,t,2011-11-20,1,0,IT027042C2BKXHSJUK
1480780,Terraferma,45.478,Entire rental unit,6,2.0,3,2,1125,$90.00,19,64,2025-06-17,338,2,2025-06-01,4.93,4.9,4.95,4.85,t,100%,t,2011-12-07,1,0,IT027042C2QL8FEGHP
377929,Terraferma,45.50914,Entire rental unit,4,1.0,5,1,30,$100.00,11,31,2025-06-17,38,0,2022-10-15,4.84,4.97,4.92,4.76,t,100%,t,2011-02-05,5,0,IT027042B4AJVFMJC7
1517643,Isole,45.43731,Entire rental unit,4,2.0,7,7,60,$170.00,19,31,2025-06-17,103,1,2025-06-06,4.73,4.56,4.83,4.72,t,100%,t,2011-12-19,1,0,IT027042C2MA2KM7WG
1514413,Terraferma,45.48566,Private room in home,4,1.0,1,1,365,$64.00,16,59,2025-06-17,270,0,2024-08-23,3.92,4.25,4.26,4.01,f,100%,t,2011-12-18,11,10,IT027042B4A49HLBZY
1560575,Isole,45.4438362121582,Private room in rental unit,3,1.0,2,2,1125,$116.00,23,83,2025-06-17,315,0,2025-05-04,4.9,4.9,4.93,4.82,t,100%,t,2012-01-03,2,1,IT027042C22VVCUUQT
1275479,Isole,45.43921,Entire condo,3,1.0,3,2,1125,$133.00,6,23,2025-06-17,459,2,2025-05-26,4.9,4.87,4.94,4.86,t,95%,t,2011-10-11,3,0,IT027042C2TCTQE897
1602219,Isole,45.42849,Private room in bed and breakfast,2,1.0,4,4,1125,$143.00,0,0,2025-06-17,1,0,2022-09-12,3.0,3.0,3.0,3.0,f,,t,2012-01-13,3,3,IT02704201HY9EH5F4
1613872,Isole,45.43568,Entire rental unit,2,1.0,2,2,1125,$150.00,14,41,2025-06-17,164,3,2025-06-14,4.82,4.88,4.98,4.78,f,100%,t,2012-01-16,1,0,IT027042C2N3UVGXNR
1617572,Isole,45.432918548583984,Private room in home,3,1.0,1,1,2,$98.00,23,79,2025-06-17,118,1,2025-05-26,4.34,4.64,4.67,4.23,f,100%,t,2012-01-17,20,5,IT027042B4Y6AQDRLO
1514413,Terraferma,45.48566,Private room in condo,3,1.0,1,1,365,$61.00,25,77,2025-06-17,180,0,2025-04-11,3.88,4.25,4.2,4.07,f,100%,t,2011-12-18,11,10,IT027042B4A49HLBZY
1514413,Terraferma,45.4860105077097,Private room in condo,3,1.0,1,1,365,$65.00,19,77,2025-06-17,145,0,2025-05-17,4.01,4.46,4.24,4.15,f,100%,t,2011-12-18,11,10,IT027042B4A49HLBZY
6747473,Isole,45.42659,Entire rental unit,3,1.0,2,2,1125,$99.00,1,6,2025-06-17,212,1,2025-05-26,4.72,4.78,4.89,4.69,t,100%,t,2013-06-05,1,0,IT027042C2BQPIDZUI
1646068,Isole,45.44507,Entire home,4,1.0,2,1,1125,$136.00,2,45,2025-06-17,188,4,2025-06-07,4.84,4.84,4.91,4.76,t,100%,t,2012-01-24,4,0,IT027042C2AWBMDXOC
1688828,Isole,45.43718,Entire rental unit,2,1.0,3,3,29,,1,3,2025-06-17,44,0,2021-11-29,4.34,4.55,4.75,4.32,f,,t,2012-02-02,2,0,IT027042C2R96GJEBP
1445896,Isole,45.43177,Entire rental unit,4,2.0,4,4,1125,$120.00,4,19,2025-06-17,197,0,2025-03-22,4.72,4.59,4.81,4.73,f,100%,t,2011-11-27,1,0,IT027042C2C6WENGME
1364177,Isole,45.42619,Entire rental unit,5,2.0,3,3,99,$199.00,8,9,2025-06-17,84,0,2025-05-11,4.79,4.76,4.92,4.67,t,100%,t,2011-11-02,2,0,IT027042C2A2DFGNBB
1729833,Isole,45.43544,Entire rental unit,4,1.0,3,2,4,$100.00,8,26,2025-06-17,162,6,2025-06-10,4.56,4.66,4.87,4.54,t,100%,t,2012-02-10,3,0,IT027042C2KZ4SLCWD
669047,Isole,45.43185,Entire rental unit,4,2.0,1,2,1125,$304.00,11,39,2025-06-17,24,0,2022-10-23,4.75,4.63,4.88,4.74,t,100%,t,2011-06-06,80,0,IT027042B4MRIF8I43
1729833,Isole,45.43971,Entire rental unit,2,0.0,26,14,1125,$40.00,12,26,2025-06-17,114,0,2025-05-05,4.71,4.81,4.93,4.72,t,100%,t,2012-02-10,3,0,IT027042C2QB8UN67Q
