id,id_anfitrion,ultima_extraccion,zona_grupo,vecindario,latitud,longitud,tipo_propiedad,tipo_habitacion,capacidad,banos,recamaras,camas,noches_minimas,noches_maximas,min_noches_minimas,max_noches_minimas,min_noches_maximas,max_noches_maximas,precio,tiene_disponibilidad,disp_30d,disp_60d,disp_90d,disp_365d,calendario_ultima_extraccion,calendario_actualizado,num_resenas,num_resenas_12m,num_resenas_30d,primera_resena,ultima_resena,resenas_por_mes,calif_total,calif_exactitud,calif_limpieza,calif_checkin,calif_comunicacion,calif_ubicacion,calif_valor,reserva_inmediata,es_superhost,tiempo_respuesta_host,tasa_respuesta_host,tasa_aceptacion_host,host_tiene_foto,host_verificado,antiguedad_host,vecindario_host,total_listados_host,host_total_casas_completas,host_total_habitaciones_privadas,host_total_habitaciones_compartidas,licencia
22447010,9278228,2025-06-17,Isole,San Marco,45.4376,12.33609,Entire condo,Entire home/apt,4,1.0,2.0,3.0,2,28,1,2,1125,1125,$192.00,t,12,34,58,313,2025-06-17,,267,34,2,2018-02-11,2025-05-28,2.98,4.68,4.75,4.79,4.71,4.82,4.89,4.63,f,f,within an hour,100%,100%,t,t,2013-10-07,San Marco,2,2,0,0,IT027042C2RKOSB3D6
24243891,182789935,2025-06-17,Isole,Dorsoduro,45.429958,12.33063,Entire rental unit,Entire home/apt,4,1.5,2.0,3.0,5,30,5,5,1125,1125,$194.00,t,14,29,54,151,2025-06-17,,212,36,2,2018-04-30,2025-06-09,2.44,4.91,4.96,4.94,4.95,4.95,4.93,4.84,t,t,within an hour,100%,100%,t,t,2018-04-06,Dorsoduro/Accademia,1,1,0,0,IT027042C2TNSLQPBZ
26757881,201213137,2025-06-17,Isole,Santa Croce,45.44033,12.33091,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,1,1125,1,3,1125,1125,$162.00,t,0,0,0,89,2025-06-17,,620,141,10,2018-07-24,2025-06-10,7.38,4.89,4.93,4.97,4.93,4.94,4.92,4.85,t,t,within an hour,100%,100%,t,t,2018-07-10,San Polo,1,1,0,0,IT027042B4ZYI936S7
30044194,84931602,2025-06-17,Terraferma,San Lorenzo XXV Aprile,45.49262,12.24079,Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,2,1125,2,2,730,730,$108.00,t,9,24,50,242,2025-06-17,,203,36,3,2018-12-09,2025-06-06,2.56,4.77,4.79,4.73,4.75,4.85,4.86,4.82,t,t,within an hour,100%,100%,t,t,2016-07-20,,7,7,0,0,IT027042B43A866RLF
32543395,238303003,2025-06-17,Isole,Lido,45.39779,12.35962,Entire rental unit,Entire home/apt,5,,2.0,,3,30,3,3,30,30,,t,0,0,0,0,2025-06-17,,52,5,0,2019-03-03,2024-10-30,0.68,4.94,4.96,4.94,5.0,5.0,4.92,4.81,t,f,,,100%,t,t,2019-01-22,Lido,1,1,0,0,IT027042C2UZRIHTPM
34758493,61723052,2025-06-17,Isole,Murano,45.45358,12.35744,Private room in home,Private room,2,0.5,1.0,2.0,1,365,1,1,365,365,$120.00,t,8,16,26,255,2025-06-17,,9,1,0,2021-08-16,2025-01-18,0.19,4.89,4.89,4.89,4.78,4.89,4.89,4.67,t,t,within an hour,100%,100%,t,f,2016-03-05,,6,1,5,0,IT027042B4MQNQ3ZG9
37983092,98495553,2025-06-17,Isole,San Marco,45.43395,12.33055,Room in boutique hotel,Hotel room,2,,1.0,,1,1125,1,5,1125,1125,,t,6,21,30,102,2025-06-17,,31,7,0,2019-09-12,2025-04-01,0.44,4.71,4.84,4.87,4.81,4.87,4.77,4.61,t,t,within an hour,100%,100%,t,t,2016-10-06,,4,0,0,0,IT027042A1C79YAEZV
41555311,239158074,2025-06-17,Isole,Santa Croce,45.4412231,12.3296341,Entire loft,Entire home/apt,3,1.0,1.0,2.0,2,1125,1,2,1125,1125,$209.00,t,0,0,0,127,2025-06-17,,316,55,1,2020-01-26,2025-05-24,4.81,4.84,4.85,4.8,4.96,4.98,4.95,4.78,t,t,within an hour,100%,100%,t,t,2019-01-26,San Polo,5,5,0,0,IT027042C2PLSU5NPW
43983269,329907889,2025-06-17,Isole,Cannaregio,45.44623,12.32023,Private room in home,Private room,3,1.0,1.0,2.0,1,28,1,2,28,99,$217.00,t,1,14,34,185,2025-06-17,,1,0,0,2022-06-07,2022-06-07,0.03,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,t,within an hour,100%,100%,t,t,2020-01-22,,6,0,6,0,IT027042B4UP4YES60
48325884,388965901,2025-06-17,Terraferma,Favaro,45.50339,12.27483,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,1,1125,1,1,1125,1125,$79.00,t,13,13,13,13,2025-06-17,,4,0,0,2021-09-05,2024-04-18,0.09,4.75,4.75,5.0,5.0,5.0,4.75,4.5,t,f,within a few hours,100%,100%,t,t,2021-02-17,,5,0,5,0,IT027042B4S4WYBXGD
