id,id_anfitrion,ultima_extraccion,zona_grupo,vecindario,latitud,longitud,tipo_propiedad,tipo_habitacion,capacidad,banos,recamaras,camas,noches_minimas,noches_maximas,min_noches_minimas,max_noches_minimas,min_noches_maximas,max_noches_maximas,precio,tiene_disponibilidad,disp_30d,disp_60d,disp_90d,disp_365d,calendario_ultima_extraccion,calendario_actualizado,num_resenas,num_resenas_12m,num_resenas_30d,primera_resena,ultima_resena,resenas_por_mes,calif_total,calif_exactitud,calif_limpieza,calif_checkin,calif_comunicacion,calif_ubicacion,calif_valor,reserva_inmediata,es_superhost,tiempo_respuesta_host,tasa_respuesta_host,tasa_aceptacion_host,host_tiene_foto,host_verificado,antiguedad_host,vecindario_host,total_listados_host,host_total_casas_completas,host_total_habitaciones_privadas,host_total_habitaciones_compartidas,licencia
1388280455343502689,453132714,2025-06-17,Isole,Murano,45.45393565603396,12.35135558471777,Entire home,Entire home/apt,4,1.0,2.0,1.0,1,30,1,1,30,30,$225.00,t,16,44,71,346,2025-06-17,,2,2,0,2025-04-20,2025-05-10,1.02,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,t,within an hour,100%,100%,f,f,2022-04-07,,1,1,0,0,IT027042C2VJL7TOZB
1388497036074976676,538884501,2025-06-17,Isole,Castello,45.436319,12.3440887,Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,2,365,1,2,365,365,$298.00,t,3,12,23,44,2025-06-17,,8,8,3,2025-04-11,2025-06-03,3.53,5.0,5.0,5.0,4.88,5.0,5.0,4.88,t,f,within an hour,100%,100%,t,t,2023-09-25,,3,3,0,0,IT027042C2CBC2KWW2
1388503317064958334,538884501,2025-06-17,Isole,Castello,45.436319,12.3440887,Entire rental unit,Entire home/apt,4,,1.0,,2,365,2,2,365,365,,t,25,55,83,129,2025-06-17,,4,4,3,2025-04-21,2025-06-09,2.07,5.0,5.0,4.75,5.0,5.0,5.0,5.0,t,f,within an hour,100%,100%,t,t,2023-09-25,,3,3,0,0,IT027042C2QZCXDISB
1388875523482195472,511327770,2025-06-17,Isole,Dorsoduro,45.43094,12.33081,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1,365,1,1,1,365,$200.00,t,14,42,62,148,2025-06-17,,11,11,3,2025-04-06,2025-06-02,4.52,4.73,4.73,4.91,4.91,4.64,4.82,4.36,t,f,within an hour,99%,100%,t,t,2023-04-23,,8,7,1,0,IT027042B48TSWAP2J
1389143388171493906,687354183,2025-06-17,Terraferma,Piave 1860,45.48327648511623,12.234202038103748,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,2,30,1,20,30,30,$169.00,t,18,42,72,252,2025-06-17,,9,9,4,2025-04-06,2025-06-09,3.7,5.0,4.89,5.0,5.0,5.0,4.89,4.89,t,f,within an hour,100%,93%,t,t,2025-03-31,,1,1,0,0,IT027042B4PHGDZDEF
1389644560041260043,543911294,2025-06-17,Terraferma,Marghera Zona Industriale,45.46969300167522,12.22911391026449,Entire condo,Entire home/apt,2,,1.0,,2,60,2,3,1125,1125,,t,9,22,36,297,2025-06-17,,10,10,7,2025-04-27,2025-06-10,5.77,5.0,5.0,5.0,4.9,4.9,4.8,4.9,t,t,within an hour,100%,100%,t,t,2023-10-29,,5,5,0,0,IT027042B4DZM6ZIRA
1389671357504520146,686767460,2025-06-17,Isole,Cannaregio,45.44751,12.32236,Entire guest suite,Entire home/apt,2,1.0,1.0,1.0,2,365,2,2,365,365,$93.00,t,21,51,81,261,2025-06-17,,4,4,3,2025-05-13,2025-06-02,3.33,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,f,within an hour,85%,100%,t,t,2025-03-28,,6,6,0,0,IT027042B4VDSXIUCF
1390044731822792915,507356316,2025-06-17,Isole,Cannaregio,45.44398,12.32795,Private room in home,Private room,2,1.5,1.0,2.0,2,365,1,2,365,365,$75.00,t,11,26,52,52,2025-06-17,,10,10,3,2025-04-09,2025-06-01,4.29,4.1,4.3,4.1,4.5,4.6,4.7,4.2,f,f,within an hour,97%,87%,t,t,2023-03-27,Santa Croce,12,5,7,0,IT027042B4HEKCMWj
1390388018243997358,543911294,2025-06-17,Terraferma,Marghera,45.46944,12.22794,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,2,90,2,2,1125,1125,$99.00,t,9,21,34,287,2025-06-17,,11,11,5,2025-04-14,2025-06-12,5.08,5.0,5.0,5.0,5.0,5.0,4.64,5.0,t,t,within an hour,100%,100%,t,t,2023-10-29,,5,5,0,0,IT027042B4XVGBAZFC
1390663829869570952,543911294,2025-06-17,Terraferma,Marghera,45.47044139647282,12.228160137434404,Entire condo,Entire home/apt,3,,2.0,,2,90,2,4,1125,1125,,t,7,11,17,269,2025-06-17,,12,12,6,2025-04-13,2025-06-04,5.45,5.0,5.0,5.0,5.0,5.0,4.33,5.0,t,t,within an hour,100%,100%,t,t,2023-10-29,,5,5,0,0,IT027042B4FZRF7ON8
1391865272206647930,686767460,2025-06-17,Isole,Cannaregio,45.44595,12.32229,Entire guest suite,Entire home/apt,4,1.0,1.0,2.0,2,365,2,2,365,365,$130.00,t,30,60,90,270,2025-06-17,,1,1,1,2025-05-24,2025-05-24,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,f,within an hour,85%,100%,t,t,2025-03-28,,6,6,0,0,IT027042B4VDSXIUCF
1392136203693340725,688156809,2025-06-17,Terraferma,Piave 1860,45.48454216004299,12.244296125556296,Entire rental unit,Entire home/apt,8,1.0,3.0,6.0,1,365,1,1,365,365,$208.00,t,13,32,55,202,2025-06-17,,7,7,2,2025-04-14,2025-06-05,3.23,4.71,4.86,4.86,4.86,4.86,4.43,4.71,t,f,within an hour,100%,96%,f,f,2025-04-04,,1,1,0,0,IT027042C2ZG28KS2L
